programme,acronym,project_title,abstract,researcher,host_institution,country,region,project_number,call,instrument,research_domain,panel,call_year,start_date,end_date,amount_granted,cordis_link,snsf_institution
Horizon 2020,BALANCE,Mapping Dispersion Spectroscopically in Large Gas-Phase Molecular Ions,"We use IR spectroscopy of trapped ions in a cryogenic FT-ICR spectrometer to probe non-covalent, “dispersion” interactions in large, gas-phase molecular ions.  We will measure conformational equilibria by N-H frequency shifts, and correlate gas-phase IR frequency to the N-H-N bond angle in an ionic H-bond.  Substituents on “onium” cations can adopt various conformations, whose energies map interaction potentials.  Substituents on their proton-bound dimers interact non-covalently through dispersion forces, whose quantitative evaluation in large molecules has remained difficult despite dispersion becoming increasingly cited as a design principle in the construction of catalysts and materials.  The non-covalent interactions bend the N-H-N bond, leading to large shifts in the IR frequency.  The proton-bound dimer acts like a molecular balance where the non-covalent interaction, is set against the bending potential in an ionic hydrogen bond.  Despite encouragingly accurate calculations for small molecules, experimental benchmarks for large molecules in the gas phase remain scarce, and there is evidence that the good results for small molecules may not extrapolate reliably to large molecules.  The present proposal introduces a new experimental probe of non-covalent interactions, providing a sensitive test of the diverging results coming from various computational methods and other experiments.  The experiment must be done on isolated molecules in the gas phase, as previous work has shown that solvation substantially cancels out the attractive potential.  Accordingly, the proposed experimental design, which involves a custom-built spectrometer, newly available tunable IR sources, chemical synthesis of custom substrates, and quantum calculations up to coupled-cluster levels of theory, showcases how an interdisciplinary approach combining physical and organic chemistry can solve a fundamental problem that impacts how we understand steric effects in organic chemistry.",Peter Chen,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,832697,ERC-2018-ADG,Advanced Grants,Physical sciences & engineering (PE),PE4 - Physical & Analytical Chemical Sciences,2018,43586,45777,2446125,https://cordis.europa.eu/project/id/832697,ETH Zurich
Horizon 2020,ProteinDynamics,Visualizing the Conformational Dynamics of Proteins by Time-Resolved Electron Microscopy,"The function of many proteins involves large-amplitude domain motions that occur on a timescale of microseconds to millisecond. In the absence of tools to directly observe these dynamics, our understanding of the function of proteins is necessarily incomplete and must frequently rely on extrapolation from known static structures. Here, the implementation of real-time imaging of single particle dynamics in liquid phase is proposed with both microsecond time resolution as well as near-atomic spatial resolution. The experimental approach builds on several recent technological advances, namely the advent of Time-Resolved (“Four-dimensional”) Electron Microscopy, graphene liquid cell technology, and direct electron detection cameras, which are combined with established single-particle reconstruction techniques in cryo-Electron Microscopy. Visualizing the conformational dynamics of proteins will fundamentally advance our understanding of these nanoscale machines and has the potential to greatly benefit biomedical applications.",Ulrich Joseph Lorenz,Swiss Federal Institute of Technology Lausanne (EPFL),Switzerland,-,759145,ERC-2017-STG,Starting Grants,Physical sciences & engineering (PE),PE4 - Physical & Analytical Chemical Sciences,2017,43160,45169,2000000,https://cordis.europa.eu/project/id/759145,EPF Lausanne
Horizon 2020,ATTOLIQ,Attosecond X-ray spectroscopy of liquids,"Charge and energy transfer are the key steps underlying most chemical reactions and biological transformations. The purely electronic dynamics that control such processes take place on attosecond time scales. A complete understanding of these dynamics on the electronic level therefore calls for new experimental methods with attosecond resolution that are applicable to aqueous environments. We propose to combine the element sensitivity of X-ray spectroscopy with attosecond temporal resolution and ultrathin liquid microjets to study electronic dynamics of relevance to chemical, biological and photovoltaic processes. We will build on our recent achievements in demonstrating femtosecond time-resolved measurements in the water, attosecond pho-toelectron spectroscopy on a liquid microjet and measuring and controlling attosecond charge migration in isolated molecules. We will first concentrate on liquid water to study its electronic dynamics following outer-valence ionization, the formation pathway of the solvated electron and the time scales and intermolecular Coulombic decay following inner-valence or core-level ionization. Second, we will turn to solvated species and measure electronic dynamics and charge migration in solvated molecules, transition-metal complexes and pho-toexcited nanoparticles. These goals will be achieved by developing several innovative experimental tech-niques. We will develop a source of isolated attosecond pulses covering the water window (285-538 eV) and combine it with a flat liquid microjet to realize attosecond transient absorption in liquids. We will complement these measurements with attosecond X-ray emission spectroscopy, Auger spectroscopy and a novel hetero-dyne-detected variant of resonant inelastic Raman scattering, exploiting the large bandwidth that is naturally available from attosecond X-ray sources.",Hans Jakob Wörner,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,772797,ERC-2017-COG,Consolidator Grants,Physical sciences & engineering (PE),PE4 - Physical & Analytical Chemical Sciences,2017,43191,45016,2750000,https://cordis.europa.eu/project/id/772797,ETH Zurich
Horizon 2020,eDrop,Droplet Photoelectron Imaging,"Angle-resolved photoelectron spectroscopy of aerosol droplets (“droplet photoelectron imaging”) is a novel approach to study fundamental aspects of the electron dynamics in liquids and across interfaces. Our recent proof-of-principle studies demonstrate that droplet photoelectron imaging not only complements, but also significantly extends the range of accessible information over established methods. Two aspects are unique to droplets: Firstly, the droplet size can be varied over a wide range from submicrons to microns. While large droplets provide overlap with liquid microjet and bulk studies, small droplets offer additional control by acting as efficient optical resonators. These optical cavity effects can be exploited to control where in the droplet the photoelectrons are generated; e.g. surface versus volume. Secondly, comprehensive information about photoelectron kinetic energy and angular distributions can be obtained fast and in a straightforward way by velocity map imaging.Building on our proof-of-principle studies, we propose to exploit the versatility of the droplet approach to address fundamental questions regarding electron dynamics in liquids and across interfaces: Can this new tool provide the missing data for low-energy electron scattering in water and other liquids and resolve the issue of the “universal curve”? How do slow electrons scatter across liquid-gas and buried liquid-liquid/solid interfaces and how does this depend on the composition and curvature of the interface? How is the ultrafast relaxation dynamics of electrons following above-band-gap excitation influenced by electron scattering and confinement effects? Low-energy electron scattering is a determining factor in radiation chemistry and biology and a central aspect of the solvated electron dynamics, while interfacial processes play a key role in atmospheric aerosols. Droplet photoelectron imaging opens up new ways to study such phenomena.",Ruth Signorell Luckhaus,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,786636,ERC-2017-ADG,Advanced Grants,Physical sciences & engineering (PE),PE4 - Physical & Analytical Chemical Sciences,2017,43405,45961,2500000,https://cordis.europa.eu/project/id/786636,ETH Zurich
Horizon 2020,GLYCANAL,High-Throughput Cryogenic Spectroscopy for Glycan Analysis,"Glycans, or oligosaccharides, are ubiquitous in biological systems. Because they decorate the surface of cells, they play a key role in virtually all cellular recognition processes and are implicated in almost every major disease.  Despite their importance, the characterization of glycan primary structure lags far behind that of proteins and DNA because of their intrinsic isomeric complexity. The isomeric nature of the monosaccharide building blocks, the stereochemistry of the glycosidic bond, the possibility of multiple attachment points, and the occurrence of isomeric branched structures all make glycans difficult to analyze.

Although mass spectrometry (MS) is one of the most sensitive approaches for glycan analysis, it has difficulty to distinguish all these various types of isomerisms. Ion mobility spectrometry (IMS) combined with MS has demonstrated some ability to identify glycan anomers and regioisomers, but cannot easily distinguish isomeric disaccharides, for example.

We have recently demonstrated that cryogenic infrared spectroscopy provides unique vibrational fingerprints of glycans that distinguishes all the various types of isomerism. When combined with simultaneous measurements of mass and ion mobility, these fingerprints can be tabulated in a database and used to identify a given glycan from a mixture. However, adding a spectroscopic dimension to ion mobility and mass measurements requires additional time, which hampers it use as an analytical tool. To use spectroscopic data for real-world glycan analysis, one must multiplex the measurement process and record the vibrational spectrum of many species simultaneously.

This project involves designing and constructing an instrument that combines state-of-the-art ion mobility separation, cryogenic ion spectroscopy, and time-of-flight mass spectrometry to perform high throughput analysis of glycan primary structure.  The success of this project would represent a tremendous breakthrough for glycoscience.
",Thomas Rizzo,Swiss Federal Institute of Technology Lausanne (EPFL),Switzerland,-,788697,ERC-2017-ADG,Advanced Grants,Physical sciences & engineering (PE),PE4 - Physical & Analytical Chemical Sciences,2017,43344,45169,2499801,https://cordis.europa.eu/project/id/788697,EPF Lausanne
Horizon 2020,DEPO,Reversing Controlled Radical Polymerisation: Towards Complete Depolymerisation,"Controlled radical polymerisation has revolutionised the field of polymer chemistry by allowing access to the synthesis of a wide range of materials with controlled molecular weight, dispersity, architecture and end-group fidelity. Although thousands of papers have reported on optimising the polymerisation parameters, very few reports have focused on reversing controlled radical polymerisation. This is a significant oversight, as controlled depolymerisation has the potential not only to reveal intriguing avenues of research, but also to pave the way for promising applications including innovative polymer characterisation methodologies. The overall vision of DEPO is to develop a universal, quantitative and controlled depolymerisation of polymers (i.e. converting polymers back to the corresponding monomers) synthesised mainly by controlled radical polymerisation. Although this strategy will initially be developed for atom transfer radical polymerisation (ATRP) systems, it will be expanded to include reversible addition-fragmentation chain-transfer (RAFT) and nitroxide-mediated polymerisation (NMP) protocols. Widely-used polymers synthesised by other methods such as polystyrene will also be modified to permit for depolymerisation. Importantly, this approach will operate at room temperature and will be applicable to a range of polymer classes and architectures (block copolymers, stars, etc.). The fundamental outcomes of this research will inform depolymerisation design strategies and will pave the way for additional opportunities such as advanced polymer characterisation.",Athina Anastasaki,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,949219,ERC-2020-STG,Starting Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2020,44075,45900,1491260,https://cordis.europa.eu/project/id/949219,ETH Zurich
Horizon 2020,InActioN,Intracellular Action of DNA-based Nano-materials,"Self-organization of matter into structured architectures with emerging functionality is arguably the most important phenomenon to enable life. Unfortunately, human efforts to successfully engineer materials that control hierarchical order and achieve precise action in cells, have suffered from structural heterogeneity and limitations in functional precision. Immune pathways are prime examples of cascades where a finely balanced sequence of interactions decides between life-changing outcomes, varying from tolerance to active fight. Immune-modulating materials, therefore, would uniquely benefit from precision control over functionality. DNA-based nanomaterials have the potential to change our current bioengineering standards due to their inherent architectural uniformity and nanometer control of functionalization, allowing for a quantitative analysis of material parameters on cell activation.   The goal of this ERC proposal is to use structural geometry of DNA-based materials to provoke controlled intracellular manipulation of immune signaling via the hierarchical and spatial organization of constitutive DNA binding proteins. We create a circular paradox where DNA defines protein synthesis, yet protein function is controlled by self-organization following interaction with designer DNA. Our approach stands out in its controlled-by-nature strategy: 1) we exclusively use materials derived from cellular building blocks; that 2) respond to stimuli generated without artificial intervention, 3) that we quantify using pathway specific activation markers and 4) image via label-free microscopy to track inherent structural changes in physical material properties. We apply our approach on two important signaling pathways involved in immunology: TLR9 as Th1 trigger for vaccine adjuvants and innate cGAS inhibition to fight autoimmunity. Using spatial organization as foundation for geometry-based immune-engineering will revolutionize the design of novel immune-modulating materials.",Maartje Martina Cornelia Bastings,Swiss Federal Institute of Technology Lausanne (EPFL),Switzerland,-,948334,ERC-2020-STG,Starting Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2020,44228,46418,1499755,https://cordis.europa.eu/project/id/948334,EPF Lausanne
Horizon 2020,VELCROProtein,Biologically Inspired Molecular Adhesives towards Multifunctional Biomaterials and Microreactors,"Recombinant proteins, including enzymes and antibodies, have revolutionized many sectors of biochemistry and biotechnology. In this project I propose a groundbreaking technology to control the supramolecular assembly of proteins in space and time to better mimic cellular organization and create a next generation of protein “living” materials for biocatalysis and medicine. 

The core idea is to mimic cellular multiprotein assemblies and microreactors on the bench, by compartmentalizing multiple proteins in space. Increasing evidence indicates that cells can coordinate crucial functions by forming membrane-less compartments via liquid-liquid phase separation of proteins and nucleic acids. Most of the proteins involved in this process consist of globular regions and disordered domains, which are enriched in specific aminoacids and pilot highly controlled self-assembly. In this project we will conjugate functional globular proteins with sequences that mimic the disordered biological domains and act as “molecular Velcros”, thereby coupling biochemical functions with phase separation in space and time. Using a combination of microfluidic technology and in silico analysis, we will develop sequences capable to control not only the dynamic process of phase separation but also the phenotype of the resulting compartments, including selective recruitment of molecules, physical properties and response to specific switches. 

This project will deliver adaptive compartments with unprecedented control of composition, environment, biochemical function and stimulus-responsiveness, going towards the development of networks of open microreactors, superior enzymes for green chemistry as well as smart materials for drug delivery. Moreover, the results will generate new knowledge on natural supramolecular structures that are associated with both functional biology and aberrant aggregates involved in devastating disorders such as Alzheimer’s and Parkinson’s disease.










",Paolo Arosio,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,101002094,ERC-2020-COG,Consolidator Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2020,44440,46265,1998496,https://cordis.europa.eu/project/id/101002094,ETH Zurich
Horizon 2020,X-Fold StereoGen,Catalyst Control over X-Fold Stereogenicity,"Catalytic, stereoselective methodologies to study the control over the configuration of stereogenic elements with three- four-, five- and six-fold stereoisomerism are proposed. Previous catalyst-stereocontrolled methods allowed the differentiation of a twofold number of stereoisomers for any given stereogenic element. It is thus anticipated that expanding the stereogenicity in stereoselective catalysis represents a significant advance for the field. The reunification of conformational analysis and stereoisomerism in organic synthesis is expected to provide an improved conceptual framework. Traditionally, stereogenic elements are considered to generate a doubled number of possible stereoisomers, which are assigned with standard stereochemical descriptors such as R and S. The overall number of possible stereoisomers in a molecule with a set of stereogenic elements (n) is thus commonly predicted as 2^n. This binary stereochemical understanding of stereoisomerism represents a current basis for organic synthesis and a wide range of bioactive compounds critical for our health care are skillfully prepared by controlling the configuration of desired stereoisomers. Control over stereogenic elements that generate more than a twofold number of possible stereoisomers thus dramatically extents the scope of current stereoselective catalysis and organic synthesis. 1: The underpinnings of conformational analysis and the catalyst-stereocontrolled synthesis will be conceptually unequivocally reunited. 2: The uncharted setting of catalyst control over three-, four-, five- and six-fold stereogenicity will be established by the development of versatile synthetic methodologies. 3: Novel molecular architectures featuring unique chemical topologies will be assessible, representing unexplored chemical designs for a broad range of applications.  4: A divergent catalysis approach will be explored, utilizing common substrates for several stereoisomeric products with extended stereogenicity.",Christof Sparr,University of Basel,Switzerland,-,101002471,ERC-2020-COG,Consolidator Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2020,44317,46142,1999266,https://cordis.europa.eu/project/id/101002471,University of Basel
Horizon 2020,HEINE,Hybrid Electrocatalysts Inspired by the Nitrogenase Enzyme,"Artificial nitrogen reduction to ammonia using the Haber-Bosch process directly supports half of the global food production and accounts for 2% of the global energy consumption. This large consumption of energy originates mostly from the use of H2 (derived from fossil fuels) as a reductant and from the high pressure and temperature required to undertake the Haber-Bosch process. 
Electrochemical synthesis of ammonia, using a proton and electron source combined with an electrocatalyst at room temperature to reduce N2, thus presents an appealing, energy-efficient alternative. However, despite years of research, the few currently available catalysts have very limited efficiency in N2 electroreduction. 
Drawing inspiration from biochemistry and using the tools of coordination chemistry, catalysis and surface chemistry, this project will explore an original strategy to develop catalysts for the reduction of N2 inspired by the nitrogenase enzyme. 
Motivated by the recent discovery of two unique moieties in the nitrogenase cofactor – the presence of a µ6-carbide moiety and a Mo(III) center – and of the increased understanding of substrate pathways in the nitrogenase protein structure, the goal of  HEINE is to design new hybrid catalysts based on the immobilisation of accurate mimics of the nitrogenase active sites onto heterogeneous supports used to generate properties analogous of the protein scaffold (hydrophobicity, proton relays, etc.). This will provide us with novel ways to develop functional electrocatalysts for N2 reduction in ambient conditions, combining the activity of traditional solid-state systems, with the selectivity of molecular catalysts. 
By identifying and reproducing the parameters responsible for the unique activity of nitrogenase enzymes,  HEINE will yield invaluable information on nature’s routes to N2 reduction and will pave the way towards a new generation of electrocatalysts able to promote this reaction. 
",Victor Mougel,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,853064,ERC-2019-STG,Starting Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2019,43739,45565,1498445,https://cordis.europa.eu/project/id/853064,ETH Zurich
Horizon 2020,ExploDProteins,Exploiting the DNA damage response to induce degradation of proteins,"Here I propose to use small molecules to degrade proteins specifically around sites of DNA damage by using the damage itself as a homing signal. The approach will create new ways to study DNA damage, but will also offer translational possibilities in cancer. Cancer cells are often acutely sensitive to DNA damage because they have one or more faulty DNA damage response (DDR) pathways – a feature that makes them highly dependent on their remaining DNA repair systems. We will pioneer two novel and related chemical approaches for selectively killing cancer cells by modulating DDR pathways with bifunctional DNA damaging molecules. We will do this by reprogramming E3 ligases. E3 ligases are modular multi-protein complexes that destabilize cellular proteins by catalysing the formation of polyubiquitin chains on its substrates, which serve as a signal for proteasomal degradation. A recent revolutionary advance in chemical biology is to use small molecules to reprogram the protein degradation specificity of E3 ligases. By degrading proteins instead of inhibiting them, these small molecules achieve levels of functional modulation typically only possible with genetic techniques. We are inspired by this new protein degradation technology, but will take it in a new direction. Chemical damage of DNA recruits E3 ligases as well as critical DDR proteins in preparation for DNA repair. We will invent a new generation of small molecule protein degradation catalysts by repurposing these natural responses to DNA damage.
We will accomplish our goal with three aims:
Aim 1: Use DNA damage as a homing signal for induced protein degradation
Aim 2: Use direct repair of DNA damage by the repair protein MGMT to promote the degradation of other proteins
Aim 3: Promote pleiotropic protein degradation by recruiting broadly acting E3 ligases to sites of DNA damage

I propose an ambitious project that will create conceptually novel ways to study the DDR and potentially build new medicines.",Dennis Gillingham,University of Basel,Switzerland,-,866345,ERC-2019-COG,Consolidator Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2019,43983,45808,1940756,https://cordis.europa.eu/project/id/866345,University of Basel
Horizon 2020,METABOLIGHT,Optical imaging platform to unravel metabolic reprogramming of cancer: a path for improved treatments,"Recent investigations revealed that cancer tissue possesses several important metabolic features, such as differential utilization of many essential metabolites. This phenomenon is now referred to as ""metabolic reprogramming"" and is known to be required for malignant transformation, tumor development, invasion and metastasis. Its complex and dynamic nature has been recognized as one of the major challenges for effective cancer treatment. Therefore, a better understanding of metabolic dependencies in specific tumor types can provide a path for improved cancer treatments.

However, no efficient methodologies currently exist that allow noninvasive imaging and quantification of the uptake of essential metabolites in animal models of disease. Current strategies rely on either nuclear imaging techniques such as PET/SPECT/MRI or endpoint ex vivo quantification of metabolites (ex. MS). All of these methods have significant limitations, resulting in a lack of understanding of tumor metabolism and, consequently, poor predictability and efficacy of cancer therapies.

To address the unmet need for nutrient uptake imaging tools, we propose to develop a novel platform based on a combination of versatile “click” chemistry reactions with noninvasive, ultrasensitive bioluminescent imaging techniques. The applications of the novel platform will focus on tumor uptake measurements of glucose, fatty acids, amino acids, and nucleosides previously reported to play important roles in cancer metabolism. We will then use this platform to investigate the metabolic reprogramming of different liver cancers, which may lead to the generation of novel, effective treatments; therefore, this novel platform has high clinical applicability. Due to its versatile nature, application of the platform can be expended to studies of many other important human pathologies in which changes in metabolism play a key role, such as diabetes, neurodegenerative diseases, nonalcoholic steatohepatitis, and many others",Elena Goun,SwissLumix,Switzerland,-,866338,ERC-2019-COG,Consolidator Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2019,43983,45808,1997375,https://cordis.europa.eu/project/id/866338,SwissLumix
Horizon 2020,SPACE4AMPS,Chemical Space for Antimicrobials on a Peptide Basis,"Multidrug resistant (MDR) bacteria represent a global public health threat against which new drugs are urgently needed. Antimicrobial peptides (AMPs), mostly derived from naturally occurring linear or cyclic peptides, can contribute to solving the problem. AMPs are already in clinical use, do not easily lead to resistance, and can rely on a strong manufacturing sector and established protocols for clinical development. However, most AMPs are degraded by proteases and have poor pharmacokinetics.
SPACE4AMPS aims to identify new AMPs with diverse peptide chain topologies and building blocks and with the following characteristics: i) Broad activity spectrum, ii) High activity, iii) Low probability for induced resistance, iv) Low proteolysis, v) Better pharmacokinetics.
To reach its goal SPACE4AMPS will create computational tools to explore the extremely vast chemical space of large molecules such as peptides and natural products, which now lies within reach of the latest computer hardware developments. 
To better understand antimicrobial drugs, we will design a molecular fingerprint relating antimicrobial activity to molecular structure and use it to draw a tree-map of the antimicrobial chemical space. We will enrich this map with new compounds from generative models using neural networks. 
To identify new AMPs, we will use a genetic algorithm carrying out cycles of molecule generation and similarity calculations to select cyclic peptides and peptide dendrimers including lipidated, peptoid (N-alkyl glycines) and N-methylated residues, synthesize and test these molecules against MDR bacteria, fungi and parasites, screen actives for toxicity, and study their structure and mode of action. 
By its ground-breaking and unprecedented computational/synthetic/biological approach, SPACE4AMPS can help solve the antibiotics crisis, revolutionize knowledge on antimicrobial compounds, and create new methods enabling computer-aided drug discovery for large molecules.
",Jean-Louis Reymond,University of Bern,Switzerland,-,885076,ERC-2019-ADG,Advanced Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2019,44197,46022,2495285,https://cordis.europa.eu/project/id/885076,University of Berne
Horizon 2020,HDPROBES,"Photoactivatable Sensors and Blinking Dyes for Live-Cell, Single-Molecule Localization Microscopy
","In this proposal, we introduce two new families of probes for live-cell super-resolution microscopy. The first class comprises small-molecule fluorescent sensors for detecting short-lived, small signaling molecules and active enzymes with single-molecule resolution. The spatiotemporal confinement of biological reactive molecules has been hypothesized to regulate various pathological and physiological processes, but the lack of tools to observe directly these microdomains of biochemical activity has precluded the investigation of these mechanisms. The ability to detect small signaling agents and active enzymes with nanometric resolution in intact live specimens will allow us to study the role of compartmentalization in intracellular signaling at an unprecedented resolution. Our studies will focus on detecting elusive reactive oxygen and nitrogen species directly at their sites of endogenous production. We will also investigate the subcellular distribution of protease activity, focusing on its role in non-apoptotic signaling.The second class of probes encompasses a palette of fluorescent dyes that switch continuously between dark and emissive forms. This dynamic equilibrium will enable the localization of single molecules in a densely labeled field without the need to apply toxic light for photoactivation. Based on a novel switching mechanism, we will prepare dyes of various emission wavelengths that blink in a controlled way. These dyes will allow us to perform, for the first time, super-resolution, multicolor, time-lapse imaging of live specimens over long time. Initial studies will focus on tracking a transcription factor that migrates from the endoplasmic reticulum to the nucleus to initiate a cellular stress response upon protein misfolding. These studies will provide spatiotemporal details of this important translocation, which takes more than one hour to occur and its observation at the single-molecule level is intractable with current super-resolution methods",Pablo Marcelo Rivera Fuentes,University of Zurich,Switzerland,-,801572,ERC-2018-STG,Starting Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2018,43739,45657,1498125,https://cordis.europa.eu/project/id/801572,University of Zurich
Horizon 2020,SCALE-HALO,Multiscale chemical engineering of functional metal halides,"SCALE-HALO proposes a research program that will advance the development of highly luminescent molecular and solid-state compounds by focusing on the emerging, vast, and rather underexplored compositional and structural spaces comprised of metals and halogens, i.e., metal halides (MHs). SCALE-HALO is motivated by the eventual utility of MHs as versatile photonic sources in modern appliances (e.g., displays and lighting) and in future quantum technologies. The recent success of lead halide perovskites in optoelectronics inspires broader exploration of the chemistry and photophysics of MHs. The clear objective is to determine factors controlling the spectral widths and emission peak wavelengths, Stokes shifts, radiative lifetimes, and quantum efficiencies. In addition to the need to discover new chemically robust and nontoxic MH emitters, there is also a critical need to engineer material morphologies suitable for specific applications (e.g., thin films, nanocrystals, composites, etc.) Ensuring the thermal and environmental stabilities are especially important efforts. SCALE-HALO will therefore encompass the chemical engineering of MHs at the atomic scale (e.g., new compounds), nanoscale (e.g., synthesis of nanostructures and their surface chemistry), and mesoscale (e.g., nanostructure superlattices and composites). Furthermore, modern exploratory syntheses will be accelerated with automated high-throughput methods (e.g., robotics and microfluidics). The characterization toolbox for probing the local atomistic structure will be expanded with multinuclear NMR spectroscopy. The individual and collective optical properties of MH nanostructures and their periodic assemblies will be established and rationalized. Toward diverse real-world applications, first trials will be undertaken to evaluate the potentials of novel MH materials for LCD displays, solid-state lighting and light-emitting diodes.",Maksym Kovalenko,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,819740,ERC-2018-COG,Consolidator Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2018,43617,45626,1999950,https://cordis.europa.eu/project/id/819740,ETH Zurich
Horizon 2020,OLECAT,Development of Stereoselective Olefin Functionalization Methods,"The ability toThe ability to readily access small-molecule building blocks at will has important consequences for the discovery and development of novel medicines and materials.  It is particularly beneficial when the chemical methods are convenient while at the same time economically and environmentally tenable and sustainable. We are especially interested in catalytic processes that are easily executed and utilize readily available starting materials to produce optically active products with high regio, chemo, diastereo, and enantioselectivity.  
The proposal aims to discover, develop, and study a collection of enantioselective olefin functionalization reactions that provide access to useful building blocks, such as amines, azides, hydrazines, nitriles, alcohols, involving acyclic, cyclic and bicyclic structures. The catalyst will be derived from earth abundant metals, such as Fe, Mn, and Co and incorporate novel chiral ligands. The study includes the design and preparation of two structural classes of novel, chiral boric acids that are expected to serve as catalyst for the enantioselective functionalization of unsaturated carboxylic acids and boronic acids. 
The methods are expected to substantially impact the development of novel strategies for complex molecule synthesis.  In this regard, we propose to use the catalysts form this study to convert dienes and trienes into polyols with characteristic stereochemical and oxidation patterns found in bioactive agents, including pharma- and nutraceuticals (carnitine). Such advances enable new approaches that go beyond the well-established methods such as aldol/allylation for the preparation of stereochemically complex fragments. Catalysts will also be developed that convert acyclic olefinic alcohols and amines into optically active, saturated furans, pyrans, pyrrolidines, and piperidines.  The implementation of the various catalytic methods in complex settings enables efficient, convergent routes to bioactive agents. 

",Erick Carreira,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,833540,ERC-2018-ADG,Advanced Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2018,43709,45716,2498635,https://cordis.europa.eu/project/id/833540,ETH Zurich
Horizon 2020,ShuttleCat,Shuttle Catalysis for Reversible Molecular Construction,"Homogeneous catalysis is one of the pillars of modern chemical synthesis because it enables the sustainable preparation of molecules that find applications in medicinal chemistry, agrochemistry, and materials science. However, many catalytic reactions use hazardous reagents, are unpractical on laboratory-scale or limited in scope. Moreover, while a relatively broad set of catalytic reactions are available to construct chemical bonds, methods to cleave those, which could find applications in biomass and waste valorization, are rare.  Inspired by the synthetic power of other metal-catalyzed reversible reactions, such as transfer hydrogenation and alkene metathesis, I herein describe a groundbreaking approach to homogeneous catalysis that makes use of a novel paradigm called “shuttle catalysis”, defined as the catalytic reversible transfer of chemical moieties between two molecules, to construct and deconstruct organic compounds. The first part of the proposal describes the invention of reversible catalytic functionalization reactions of alkenes following this principle. The second part addresses the challenge of developing safer catalytic carbonylation and decarbonylation reactions that do not use nor release toxic carbon monoxide gas. Finally, the last part proposes to apply the shuttle catalysis concept to the invention of unprecedented C–X (X = P, O, S, N) bond metathesis reactions. This new approach to catalysis has the potential to revolutionize the preparation, and streamline the discovery, of numerous important molecules with applications across the molecular sciences. Importantly, in order to mitigate the high risks inherent to such a groundbreaking approach, we have collected preliminary results to demonstrate the feasibility of each of the proposed subprojects.",Bill Morandi,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,-,757608,ERC-2017-STG,Starting Grants,Physical sciences & engineering (PE),PE5 - Synthetic Chemistry & Materials,2017,43101,44926,1485000,https://cordis.europa.eu/project/id/757608,ETH Zurich
